INSTRUCTIONAL FUNDING,TOTAL FUNDS (IN THOUSANDS OF DOLLARS),,,,,
Economics,"$25,103","$24,420","$21,817","$20,741","$19,480",
Electron Microscope Laboratory,$350,$305,$322,$343,$349,
English,"$14,906","$14,833","$14,515","$13,391","$13,068",
Ethnic Studies,"$5,888","$5,500","$5,896","$5,343","$5,261",
Film Studies,"$2,911","$2,718","$2,707","$2,254","$2,226",
French,"$3,859","$4,136","$4,040","$3,845","$3,753",
Geography,"$3,695","$3,370","$3,778","$3,607","$3,928",
German,"$3,212","$3,145","$2,934","$2,893","$2,866",
"German, Spanish And Portuguese Administration",$654,$618,$557,$605,$593,
History,"$14,646","$14,064","$14,499","$13,795","$13,417",
Humanities Research & Teaching Support,$293,$407,$542,$499,$288,
Integrative Biology,"$15,102","$14,759","$15,120","$13,542","$13,630",
International and Area Studies Teaching Program,"$3,241","$3,066","$3,294","$3,306","$3,489",
Italian Studies,"$1,453","$1,660","$1,730","$1,730","$1,643",
Italian/Scandinavian/Slavic Administration,$447,$402,$389,$412,$413,
Jewish Studies,"$1,076","$1,282",$270,$287,$320,
Language Center,"$1,150","$1,093","$1,062","$1,136","$1,211",
Linguistics,"$4,200","$3,801","$3,628","$3,410","$3,700",
Mathematics,"$22,934","$21,203","$20,055","$18,996","$18,916",
Medieval Studies,$5,$15,$13,$30,$8,
Molecular And Cell Biology,"$25,789","$24,225","$25,256","$22,484","$21,262",
Music,"$7,226","$6,570","$6,051","$5,900","$5,954",
Near Eastern Studies,"$4,487","$3,968","$4,038","$4,005","$3,978",
Philosophy,"$6,441","$6,130","$5,933","$6,175","$5,862",
Physical Education Program,"$1,601","$1,568","$1,446","$1,485","$1,707",
Physical Sciences Dean's Office,"$1,497","$1,223",$932,"$1,316","$1,685",
Physics,"$21,382","$21,105","$21,976","$20,672","$20,612",
Political Science,"$15,239","$11,898","$11,818","$11,881","$11,511",
Psychology,"$12,967","$12,815","$12,841","$12,593","$11,272",
Rhetoric,"$3,284","$3,629","$3,365","$3,287","$3,369",
Rhetoric And Film Studies Administration,$851,$732,$679,$449,$465,
ROTC Military Affairs,$352,$335,$364,$328,$302,
Scandinavian Languages,"$1,631","$1,676","$1,683","$1,590","$1,590",
Slavic Languages And Literature,"$2,342","$2,118","$2,333","$2,414","$2,358",
Social Sciences Dean's Office,$964,$432,$110,$50,$79,
Social Science Matrix,$752,$547,$764,"$1,115","$1,143",
Sociology,"$13,530","$13,436","$11,926","$11,530","$10,316",
South and Southeast Asian Studies,"$3,408","$3,074","$3,112","$3,074","$2,986",
Spanish And Portuguese,"$3,664","$3,816","$3,448","$3,456","$3,674",
Statistics,"$10,864","$9,583","$9,138","$8,507","$8,679",
Townsend Center For Humanities,$48,$39,$169,$201,$89,
Undergraduate Advising,"$4,588","$3,434","$3,037","$3,544","$3,596",
Undergraduate And Interdisciplinary Studies Dean's Office,"$7,081","$7,116","$7,053","$7,073","$7,070",
Women's Studies,"$2,091","$1,770","$1,978","$2,087","$1,999",
TOTAL,"$346,770","$332,306","$324,858","$312,805","$304,418",
SCHOOL OF INFORMATION MANAGEMENT AND SYSTEMS,"$26,934","$23,997","$20,005","$16,464","$7,904",
COLLEGE OF NATURAL RESOURCES,"$19,331","$20,407","$18,712","$18,158","$17,860",
SCHOOL OF OPTOMETRY,"$12,060","$10,114","$9,900","$10,068","$9,802",
SCHOOL OF PUBLIC HEALTH,"$26,064","$25,405","$26,523","$25,845","$26,507",
GRADUATE SCHOOL OF PUBLIC POLICY,"$14,916","$12,426","$12,315","$10,994","$9,998",
SCHOOL OF SOCIAL WELFARE,"$43,537","$32,466","$46,528","$39,995","$37,076",
INTERNATIONAL AREA STUDIES,"$1,759","$1,776","$1,626",$987,"$1,277",
SCHOOL OF BUSINESS ADMINISTRATION,"$87,768","$83,783","$77,953","$76,294","$76,572",
SCHOOL OF EDUCATION,"$15,524","$14,307","$14,193","$13,820","$13,169",
COLLEGE OF ENVIRONMENTAL DESIGN ,"$24,383","$24,389","$23,771","$8,146","$20,269",
GRADUATE SCHOOL OF JOURNALISM,"$8,214","$7,407","$7,411","$7,224","$7,530",
SCHOOL OF LAW,"$39,742","$35,832","$34,115","$32,702","$30,495",
